temps,temps_mn, SSIM R,SSIM G,SSIM B,mean SSIM
22,0.3666666667,85.7485,85.9915,86.6988,86.1462666667
33,0.55,85.8421,86.1245,86.859,86.2752
44,0.7333333333,85.8789,86.1615,86.9065,86.3156333333
55,0.9166666667,85.9037,86.1881,86.9356,86.3424666667
66,1.1,85.9062,86.2125,86.9749,86.3645333333
88,1.4666666667,85.9291,86.2357,87.0038,86.3895333333
99,1.65,85.9319,86.2427,87.0209,86.3985
121,2.0166666667,85.972,86.2713,87.0472,86.4301666667
132,2.2,85.9747,86.2907,87.0622,86.4425333333
143,2.3833333333,85.961,86.2818,87.0574,86.4334
154,2.5666666667,85.9696,86.2964,87.0695,86.4451666667
165,2.75,85.9627,86.301,87.0784,86.4473666667
176,2.9333333333,85.9662,86.3125,87.0898,86.4561666667
187,3.1166666667,85.9954,86.335,87.1085,86.4796333333
209,3.4833333333,86.0142,86.3469,87.1214,86.4941666667
220,3.6666666667,86.008,86.3407,87.115,86.4879
231,3.85,86.0154,86.3527,87.1284,86.4988333333
242,4.0333333333,86.026,86.3651,87.1396,86.5102333333
264,4.4,86.0477,86.3829,87.1607,86.5304333333
275,4.5833333333,86.0493,86.389,87.1679,86.5354
297,4.95,86.0608,86.4034,87.1818,86.5486666667
308,5.1333333333,86.0677,86.4121,87.1884,86.5560666667
330,5.5,86.0628,86.4055,87.1906,86.5529666667
341,5.6833333333,86.0689,86.4126,87.1971,86.5595333333
352,5.8666666667,86.0667,86.4202,87.1999,86.5622666667
374,6.2333333333,86.0739,86.4265,87.2041,86.5681666667
385,6.4166666667,86.0814,86.4307,87.2074,86.5731666667
396,6.6,86.0884,86.4364,87.2143,86.5797
418,6.9666666667,86.0993,86.4496,87.2229,86.5906
429,7.15,86.1003,86.4448,87.2204,86.5885
440,7.3333333333,86.0978,86.4485,87.222,86.5894333333
451,7.5166666667,86.0986,86.4553,87.2274,86.5937666667
473,7.8833333333,86.0825,86.4508,87.2166,86.5833
484,8.0666666667,86.0795,86.4476,87.2214,86.5828333333
495,8.25,86.0878,86.4459,87.22,86.5845666667
506,8.4333333333,86.0924,86.4504,87.2215,86.5881
517,8.6166666667,86.0987,86.4529,87.2283,86.5933
539,8.9833333333,86.0924,86.4534,87.2269,86.5909
550,9.1666666667,86.099,86.4584,87.2322,86.5965333333
561,9.35,86.1,86.4618,87.2365,86.5994333333
572,9.5333333333,86.1003,86.465,87.2393,86.6015333333
583,9.7166666667,86.1001,86.4641,87.238,86.6007333333
605,10.0833333333,86.086,86.4543,87.2298,86.5900333333
616,10.2666666667,86.0863,86.4534,87.231,86.5902333333
