Maximum depth,Initial radius,Photons per iteration,Work unit granularity,Russian roulette start depth,Size reduction parameter,Samples per pixel,Effective dimension,filter,filter parameters,PSNR
6,1,250000,1,5,0.1,4,4,gaussian,"0.5",27.24
6,1,250000,1,5,0.2,4,4,gaussian,"0.5",30.5791
6,1,250000,1,5,0.3,4,4,gaussian,"0.5",32.902
6,1,250000,1,5,0.4,4,4,gaussian,"0.5",34.4389
6,1,250000,1,5,0.5,4,4,gaussian,"0.5",35.7257
6,1,250000,1,5,0.6,4,4,gaussian,"0.5",36.6005
6,1,250000,1,5,0.8,4,4,gaussian,"0.5",37.5614
6,1,250000,1,5,0.9,4,4,gaussian,"0.5",37.8765
6,1,250000,1,5,1,4,4,gaussian,"0.5",38.0518
6,1,250000,1,5,1.5,4,4,gaussian,"0.5",38.4894
6,1,250000,1,5,2,4,4,gaussian,"0.5",38.0693
