temps, SSIM R,SSIM G,SSIM B
1001,86.1242,86.4825,87.2539
1012,86.1246,86.4833,87.2548
1023,86.1241,86.4832,87.2547
1034,86.1269,86.4844,87.2565
1045,86.1273,86.4865,87.2572
1056,86.1234,86.4845,87.2578
1067,86.1233,86.4854,87.2593
1078,86.1227,86.4857,87.2571
1089,86.1202,86.4835,87.2569
1100,86.1182,86.4815,87.2542
1111,86.1203,86.4829,87.2571
1122,86.1227,86.4849,87.2586
1133,86.1236,86.4844,87.2626
1144,86.1276,86.4855,87.2615
1155,86.1284,86.4865,87.2645
1166,86.1247,86.4844,87.2623
1177,86.1257,86.4841,87.2655
1188,86.1289,86.4866,87.2652
1199,86.1312,86.4878,87.2677
1210,86.1343,86.488,87.2659
121,85.972,86.2713,87.0472
1221,86.1342,86.4877,87.2666
1232,86.1359,86.4904,87.2698
1243,86.1369,86.4908,87.2709
1254,86.136,86.4939,87.2719
1265,86.1282,86.4859,87.2651
1276,86.1297,86.4869,87.2676
1287,86.1288,86.4889,87.268
1298,86.1317,86.4882,87.2678
1309,86.1309,86.4916,87.27
1320,86.1328,86.4903,87.2707
132,85.9747,86.2907,87.0622
1331,86.1353,86.4918,87.2726
1342,86.1385,86.4913,87.2715
1353,86.1351,86.4915,87.2728
1364,86.1336,86.4893,87.2719
1375,86.1315,86.4853,87.2655
1386,86.1306,86.4853,87.2675
1397,86.1326,86.4873,87.2688
1408,86.1364,86.4896,87.2691
1419,86.1381,86.4894,87.2698
1430,86.1382,86.487,87.2698
143,85.961,86.2818,87.0574
1441,86.1405,86.4876,87.2691
1452,86.1388,86.4891,87.2696
1463,86.1409,86.4901,87.2691
1474,86.1409,86.4909,87.2703
1485,86.142,86.4901,87.27
1496,86.1419,86.4906,87.2714
1540,86.1472,86.4983,87.275
154,85.9696,86.2964,87.0695
1551,86.151,86.4984,87.2771
1562,86.1494,86.4988,87.2775
1573,86.1497,86.4963,87.2756
1584,86.1482,86.4957,87.2741
1595,86.1463,86.4976,87.2759
1606,86.1423,86.4917,87.269
1617,86.1415,86.4928,87.2699
1628,86.1444,86.4927,87.2702
1639,86.1506,86.4951,87.272
1650,86.1501,86.4979,87.2743
165,85.9627,86.301,87.0784
1661,86.1505,86.4991,87.2761
1672,86.1537,86.5002,87.278
1683,86.1535,86.4987,87.278
1694,86.1525,86.4992,87.2788
1705,86.1538,86.4994,87.2784
1738,86.1545,86.4999,87.28
1749,86.1521,86.4994,87.2788
176,85.9662,86.3125,87.0898
1771,86.1537,86.5029,87.2784
1782,86.1553,86.5041,87.2811
1793,86.1564,86.5044,87.2833
187,png85.9954,86.335,87.1085
209,png86.0142,86.3469,87.1214
220,png86.008,86.3407,87.115
22,85.7485,85.9915,86.6988
231,86.0154,86.3527,87.1284
242,86.026,86.3651,87.1396
264,86.0477,86.3829,87.1607
275,86.0493,86.389,87.1679
297,86.0608,86.4034,87.1818
308,86.0677,86.4121,87.1884
330,86.0628,86.4055,87.1906
33,85.8421,86.1245,86.859
341,86.0689,86.4126,87.1971
352,86.0667,86.4202,87.1999
374,86.0739,86.4265,87.2041
385,86.0814,86.4307,87.2074
396,86.0884,86.4364,87.2143
418,86.0993,86.4496,87.2229
429,86.1003,86.4448,87.2204
440,86.0978,86.4485,87.222
44,85.8789,86.1615,86.9065
451,86.0986,86.4553,87.2274
473,86.0825,86.4508,87.2166
484,86.0795,86.4476,87.2214
495,86.0878,86.4459,87.22
506,86.0924,86.4504,87.2215
517,86.0987,86.4529,87.2283
539,86.0924,86.4534,87.2269
550,86.099,86.4584,87.2322
55,85.9037,86.1881,86.9356
561,86.1,86.4618,87.2365
572,86.1003,86.465,87.2393
583,86.1001,86.4641,87.238
605,86.086,86.4543,87.2298
616,86.0863,86.4534,87.231
627,86.0915,86.456,87.2326
638,86.0936,86.4552,87.2326
649,86.0988,86.4579,87.2382
660,86.097,86.4572,87.2377
66,85.9062,86.2125,86.9749
671,86.1005,86.4598,87.2377
693,86.0996,86.4593,87.2363
704,86.1035,86.4626,87.2383
715,86.1005,86.4641,87.2406
726,86.0981,86.4632,87.2394
737,86.0984,86.4619,87.2394
748,86.1039,86.4635,87.2387
759,86.1042,86.4634,87.2396
770,86.1033,86.465,87.2396
803,86.0998,86.4577,87.232
814,86.0983,86.4592,87.2332
825,86.0988,86.4569,87.2339
836,86.1015,86.4577,87.2341
847,86.1051,86.4595,87.237
858,86.1088,86.4628,87.2389
869,86.1088,86.4666,87.2409
880,86.1098,86.4681,87.2445
88,85.9291,86.2357,87.0038
891,86.1126,86.47,87.2442
902,86.1141,86.4717,87.2448
913,86.1169,86.4711,87.2478
924,86.1208,86.4751,87.252
957,86.1215,86.4809,87.2517
968,86.1254,86.4811,87.2511
979,86.1209,86.478,87.2499
990,86.125,86.482,87.2538
99,85.9319,86.2427,87.0209
1800,86.1547,86.5054,87.282
